Timestamp,"Domisili saat ini (kota, provinsi)","Domisili saat ini (kota, provinsi)",Apakah kamu seorang laki-laki atau perempuan?,Umur kamu berapa saat ini?,"Adakah komunitas JavaScript di sekitar tempat tinggal kamu? Jika ada, boleh disebutkan nama komunitasnya apa saja. Boleh meetup, telegram grup, WhatsApp, FB group dan sebagainya",Kegiatan saat ini,,Kamu sedang tertarik belajar tentang framework apa?,Media terbaik buat kamu untuk belajar pemrograman?,Pengalaman kerja,Bagaimana biasanya kamu belajar sebuah teknologi atau framework?,Saat ini menggunakan framework apa?,Bagaimana pendapatmu tentang framework tersebut? (Kelebihan dan kekurangan),Saat ini sedang tertarik belajar framework apa?,Pertimbangan utama memilih sebuah teknologi?,Gaji saat ini berkisar antara...,Perusahaan kamu saat ini memiliki...,"Saat mencari talenta, biasanya banyak merekrut dari mana?",Apakah tim development sudah menggunakan testing dalam proses development,Alat bantu testing yang digunakan
10/15/2019 20:17:56,Yogyakarta,Yogyakarta,Laki-laki,31,Tidak tahu,Fullstack,Fullstack,,,5-10 tahun,Dari dokumentasi resmi,React,"Clean,simple, Dan banyak library ui",Svelte,Developer friendly,10-20 juta per bulan,1-5 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Kadang-kadang,Jest
10/15/2019 20:35:40,Surabaya,Surabaya,Perempuan,22,Tidak,Sedang Kuliah,kuliah,React,Artikel atau blog,,,,,,,,,,,
10/15/2019 20:48:05,Jakarta,Jakarta,Laki-laki,21,Jakarta JS,Frontend,Frontend,,,1-2 tahun,Dari dokumentasi resmi,Vue,"Easy learning curve, can be overweighted",React,"User friendly (cepat, ringan, kecil)",5-10 juta per bulan,100-1000 orang,Social media,Harus,Mocha
10/15/2019 20:59:05,Jakarta,Jakarta,Laki-laki,23,JavaScript Indonesia,Backend,Backend,,,Dibawah 1 tahun,Dari tutorial,Express,-,Angular,Tergantung tempat kerja,0-5 juta per bulan,20-50 orang,Referal dari rekan,"Sudah, tapi belum semua",Mocha
10/15/2019 21:14:14,Jakarta,Jakarta,Laki-laki,26,JakartaJS,Backend,Backend,,,2-5 tahun,Langsung membuat proyek-proyek sederhana,Express,"+ Sangat fleksible dalam menggunakan framework
- Dukungan third party mengenai ORM yang jelek",libuv,Yang sudah mature,10-20 juta per bulan,20-50 orang,Headhunter,"Sudah, tapi belum semua",Jest
10/15/2019 21:21:14,"Jakarta Timur, DKI Jakarta","Jakarta Timur, DKI Jakarta",Laki-laki,20,"JakartaJS, ReactJSID, DevC Jakarta",Frontend,Frontend,,,2-5 tahun,Dari dokumentasi resmi,React,Saya berfikir belajar React = belajar fundamental JS lebih lanjut,React,Yang populer atau paling banyak digunakan,5-10 juta per bulan,,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Belum,
10/15/2019 21:48:19,Jakarta,Jakarta,Laki-laki,31,Jakarta JS,Team Lead Developer,"Lead, VP, C Level",,,5-10 tahun,Dari tutorial,Vue,"Easy to use, fast, powerful",React,Yang populer atau paling banyak digunakan,20-30  juta per bulan,50-100 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll","Sudah, tapi belum semua",Mocha
10/15/2019 23:21:26,Bandung,Bandung,Laki-laki,21,BandungJs,Sedang Kuliah,kuliah,React,Artikel atau blog,,,,,,,,,,,
10/16/2019 5:58:33,Jakarta,Jakarta,Laki-laki,21,Jakarta JS,Frontend,Frontend,,,Dibawah 1 tahun,Dari tutorial,React,"Kelebihan : Semua code nya adalah javascript, memudahkan utk develop.
Kekurangan : agak susah bila kurang terbiasa dengan jsx
",Svelte,Yang populer atau paling banyak digunakan,0-5 juta per bulan,5-10 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll","Sudah, tapi belum semua",Jest
10/16/2019 6:35:50,Bali,Bali,Laki-laki,19,Bali Js,Frontend,Frontend,,,1-2 tahun,Langsung membuat proyek-proyek sederhana,React,"Kelebihan: cepat, banyak tantangannya, bisa multi platform, etc. Kekurangan: Terlalu banya third party yg hrus diinstall haha (global), ",Redux,Yang populer atau paling banyak digunakan,0-5 juta per bulan,20-50 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Belum,
10/16/2019 7:37:33,Brebes,Brebes,Laki-laki,20,Tidak ada,Sedang Kuliah,kuliah,"React, Vue",Video,,,,,,,,,,,
10/16/2019 8:17:22,"Depok, Jawa Barat ","Depok, Jawa Barat ",Laki-laki,33,Tidak Ada,IT Arsitek,"Lead, VP, C Level",,,10-20 tahun,"Dari contoh aplikasi, example code ataupun boilerplate",Vue,Cukup paham HTML JS CSS dasar sudah bisa pakai,React,Developer friendly,30-50 juta per bulan,Diatas 1000 orang,Referal dari rekan,Harus,Jest
10/16/2019 8:31:21,Kabupaten batang,Kabupaten batang,Laki-laki,25,Tidak ada,Fullstack,Fullstack,,,2-5 tahun,Dari dokumentasi resmi,Vue,"Simple, lightweight, nyaman",React,"User friendly (cepat, ringan, kecil)",0-5 juta per bulan,1-5 orang,Social media,Belum,
10/16/2019 8:31:25,Yogyakarta,Yogyakarta,Laki-laki,25,JogjaJS,Fullstack,Fullstack,,,1-2 tahun,Langsung membuat proyek-proyek sederhana,Vue,"Mudah dipahami, codenya clean, dan saya menggunakannya dilaravel",Angular,Mengikuti framework yang digunakan dikantor,0-5 juta per bulan,20-50 orang,Social media,Harus,Mocha
10/16/2019 8:44:48,"gianyar, bali","gianyar, bali",Laki-laki,35,"FB Developer Circle, Vue.js Indonesia",Fullstack,Fullstack,,,5-10 tahun,"Dari contoh aplikasi, example code ataupun boilerplate",Vue,"Mudah dipelajari, cukup populer",Vue,"User friendly (cepat, ringan, kecil)",10-20 juta per bulan,20-50 orang,Referal dari rekan,Belum,
10/16/2019 8:55:33,Sukabumi,Sukabumi,Laki-laki,27,tidak ada,Mobile,Mobile,,,Dibawah 1 tahun,Dari tutorial,React,"minus debuging terkadang sulit, karena tidak tertera secara spesifik",React,Developer friendly,5-10 juta per bulan,20-50 orang,Headhunter,"Sudah, tapi belum semua",Jest
10/16/2019 9:24:37,"jakarta selatan, dki jakarta","jakarta selatan, dki jakarta",Laki-laki,23,jakartajs,Mobile,Mobile,,,1-2 tahun,Langsung membuat proyek-proyek sederhana,React,sejauh ini bagus aja dibanding jquery,React,Talenta tersedia,5-10 juta per bulan,100-1000 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll","Sudah, tapi belum semua",Jest
10/16/2019 9:45:43,Jakarta,Jakarta,Laki-laki,22,Reactjs & JakartaJS,Frontend,Frontend,,,1-2 tahun,Dari dokumentasi resmi,React,Ecosystem dan perkembangan yg baik dan cepat,React,Yang masih jarang digunakan,10-20 juta per bulan,50-100 orang,Referal dari rekan,"Sudah, tapi belum semua",Jest
10/16/2019 9:53:42,Jakarta ,Jakarta ,Laki-laki,28,"React ID, NodeJS ID",IT Support yang sangat tertarik dengan Pemrograman,lainnya,React,Artikel atau blog,,,,,,,,,,,
